"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
"Mean Duration",,,,574.373
"Total Duration",,,,4594.981


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:13:58.056,1 Jan 2026 00:23:53.732,595.676
2,1 Jan 2026 12:20:15.971,1 Jan 2026 12:30:27.889,611.918
3,1 Jan 2026 13:58:51.463,1 Jan 2026 14:11:40.078,768.615
4,1 Jan 2026 15:40:55.480,1 Jan 2026 15:51:08.937,613.458
5,1 Jan 2026 17:25:27.569,1 Jan 2026 17:30:29.861,302.292
6,1 Jan 2026 19:07:21.616,1 Jan 2026 19:13:30.416,368.799
7,1 Jan 2026 20:46:34.724,1 Jan 2026 20:57:41.310,666.586
8,1 Jan 2026 22:26:16.295,1 Jan 2026 22:39:04.453,768.158

Statistics
"Min Duration",5,1 Jan 2026 17:25:27.569,1 Jan 2026 17:30:29.861,302.292
"Max Duration",3,1 Jan 2026 13:58:51.463,1 Jan 2026 14:11:40.078,768.615
"Mean Duration",,,,586.938
"Total Duration",,,,4695.503


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 11:56:33.437,1 Jan 2026 12:04:21.766,468.329
2,1 Jan 2026 13:33:50.226,1 Jan 2026 13:46:37.090,766.865
3,1 Jan 2026 15:15:07.359,1 Jan 2026 15:26:20.820,673.460
4,1 Jan 2026 16:59:14.331,1 Jan 2026 17:05:33.446,379.114
5,1 Jan 2026 18:42:23.909,1 Jan 2026 18:47:17.765,293.856
6,1 Jan 2026 20:21:46.784,1 Jan 2026 20:31:51.824,605.039
7,1 Jan 2026 22:01:14.110,1 Jan 2026 22:14:01.628,767.518
8,1 Jan 2026 23:42:20.333,1 Jan 2026 23:52:45.372,625.039

Statistics
"Min Duration",5,1 Jan 2026 18:42:23.909,1 Jan 2026 18:47:17.765,293.856
"Max Duration",7,1 Jan 2026 22:01:14.110,1 Jan 2026 22:14:01.628,767.518
"Mean Duration",,,,572.403
"Total Duration",,,,4579.221


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 11:34:37.536,1 Jan 2026 11:36:29.798,112.262
2,1 Jan 2026 13:09:02.221,1 Jan 2026 13:21:26.501,744.280
3,1 Jan 2026 14:49:30.399,1 Jan 2026 15:01:30.663,720.265
4,1 Jan 2026 16:33:01.247,1 Jan 2026 16:40:43.530,462.283
5,1 Jan 2026 18:17:10.255,1 Jan 2026 18:21:16.979,246.724
6,1 Jan 2026 19:56:59.698,1 Jan 2026 20:05:52.115,532.417
7,1 Jan 2026 21:36:17.327,1 Jan 2026 21:48:46.579,749.252
8,1 Jan 2026 23:16:45.466,1 Jan 2026 23:28:29.134,703.668

Statistics
"Min Duration",1,1 Jan 2026 11:34:37.536,1 Jan 2026 11:36:29.798,112.262
"Max Duration",7,1 Jan 2026 21:36:17.327,1 Jan 2026 21:48:46.579,749.252
"Mean Duration",,,,533.894
"Total Duration",,,,4271.151


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:26:25.897,1 Jan 2026 00:38:09.647,703.749
2,1 Jan 2026 02:06:21.364,1 Jan 2026 02:18:57.145,755.782
3,1 Jan 2026 03:49:44.011,1 Jan 2026 03:54:59.448,315.437
4,1 Jan 2026 15:52:49.080,1 Jan 2026 16:04:51.184,722.104
5,1 Jan 2026 17:32:49.822,1 Jan 2026 17:45:09.179,739.357
